Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1975","1975","6121","Value","3018","Employment surveys","%","5.86","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1976","1976","6121","Value","3018","Employment surveys","%","5.88","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1977","1977","6121","Value","3018","Employment surveys","%","5.83","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1978","1978","6121","Value","3018","Employment surveys","%","5.84","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1979","1979","6121","Value","3018","Employment surveys","%","5.71","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1980","1980","6121","Value","3018","Employment surveys","%","5.78","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1981","1981","6121","Value","3018","Employment surveys","%","5.77","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1982","1982","6121","Value","3018","Employment surveys","%","5.57","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1983","1983","6121","Value","3018","Employment surveys","%","5.51","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1984","1984","6121","Value","3018","Employment surveys","%","5.4","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1985","1985","6121","Value","3018","Employment surveys","%","5.31","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1986","1986","6121","Value","3018","Employment surveys","%","5.38","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1987","1987","6121","Value","3018","Employment surveys","%","5.53","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1988","1988","6121","Value","3018","Employment surveys","%","5.44","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1989","1989","6121","Value","3018","Employment surveys","%","5.47","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1990","1990","6121","Value","3018","Employment surveys","%","5.4","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1991","1991","6121","Value","3018","Employment surveys","%","5.41","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1992","1992","6121","Value","3018","Employment surveys","%","5.49","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1993","1993","6121","Value","3018","Employment surveys","%","5.44","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1995","1995","6121","Value","3018","Employment surveys","%","5.14","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1996","1996","6121","Value","3018","Employment surveys","%","5.22","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
"OEA","Employment Indicators: Agriculture","356","India","21152","Share of employees in agriculture, forestry and fishing in total employees","1","Total","1997","1997","6121","Value","3018","Employment surveys","%","5.11","X","Figure from international organizations","Data reference period: March | Establishment size coverage: All establishments with at least 10 employees"
