Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1973","1973","tonnes","4256","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1975","1975","tonnes","22230","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1976","1976","tonnes","13575","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1977","1977","tonnes","35645","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1978","1978","tonnes","78263","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1979","1979","tonnes","95984","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1980","1980","tonnes","130592","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1981","1981","tonnes","197487","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1982","1982","tonnes","123915","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1983","1983","tonnes","266500","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1984","1984","tonnes","336360","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1985","1985","tonnes","287644","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1986","1986","tonnes","406143","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1987","1987","tonnes","379019","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1988","1988","tonnes","529270","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1989","1989","tonnes","249477","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1990","1990","tonnes","487907","A","Official figure"
"RA","Fertilizers archive","356","India","5610","Import Quantity","1402","Ammonia","1991","1991","tonnes","665614","A","Official figure"
