Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","75000","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","72133","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","70791","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","66388","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","61357","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","61257","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","56114","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","52279","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","49157","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","46195","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","44957.52","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","43720.04","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","42482.56","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","41245.08","E","Estimated value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","35113","E","Estimated value"
