Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1961","1961","3050","FAO TIER 1","ha","34694000","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1961","1961","3050","FAO TIER 1","kilotonnes","3662.2986","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1962","1962","3050","FAO TIER 1","ha","35695008","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1962","1962","3050","FAO TIER 1","kilotonnes","3767.965","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1963","1963","3050","FAO TIER 1","ha","35809008","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1963","1963","3050","FAO TIER 1","kilotonnes","3779.9989","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1964","1964","3050","FAO TIER 1","ha","36462000","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1964","1964","3050","FAO TIER 1","kilotonnes","3848.9287","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1965","1965","3050","FAO TIER 1","ha","35470000","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1965","1965","3050","FAO TIER 1","kilotonnes","3744.2132","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1966","1966","3050","FAO TIER 1","ha","35251008","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1966","1966","3050","FAO TIER 1","kilotonnes","3721.0964","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1967","1967","3050","FAO TIER 1","ha","36437408","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1967","1967","3050","FAO TIER 1","kilotonnes","3846.3328","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1968","1968","3050","FAO TIER 1","ha","36966304","A","Official figure",""
"GR","Emissions from Rice cultivation","356","India","7225","Emissions (CH4)","0113","Rice","1968","1968","3050","FAO TIER 1","kilotonnes","3902.1631","E","Estimated value",""
"GR","Emissions from Rice cultivation","356","India","5312","Area harvested","0113","Rice","1969","1969","3050","FAO TIER 1","ha","37680304","A","Official figure",""
