Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2010","2010","1000 tonnes","143963","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2011","2011","1000 tonnes","157900","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2012","2012","1000 tonnes","157800","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2013","2013","1000 tonnes","159200","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2014","2014","1000 tonnes","157200","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2015","2015","1000 tonnes","156540","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2016","2016","1000 tonnes","163700","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2017","2017","1000 tonnes","168500","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2018","2018","1000 tonnes","174717","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2019","2019","1000 tonnes","174717","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2020","2020","1000 tonnes","178305","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2010","2010","1000 tonnes","15","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2011","2011","1000 tonnes","17","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2012","2012","1000 tonnes","5","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2013","2013","1000 tonnes","7","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2014","2014","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2015","2015","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2016","2016","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2017","2017","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2018","2018","1000 tonnes","10","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2019","2019","1000 tonnes","9","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5611","Import Quantity","S2807","Rice and products","2020","2020","1000 tonnes","7","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2010","2010","1000 tonnes","4498","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2011","2011","1000 tonnes","2399","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2012","2012","1000 tonnes","600","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2013","2013","1000 tonnes","-4048","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2014","2014","1000 tonnes","-7412","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2015","2015","1000 tonnes","-347","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2016","2016","1000 tonnes","3220","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2017","2017","1000 tonnes","3084","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2018","2018","1000 tonnes","10367","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2019","2019","1000 tonnes","6597","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5072","Stock Variation","S2807","Rice and products","2020","2020","1000 tonnes","3148","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2010","2010","1000 tonnes","3341","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2011","2011","1000 tonnes","7508","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2012","2012","1000 tonnes","15696","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2013","2013","1000 tonnes","16950","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2014","2014","1000 tonnes","16634","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2015","2015","1000 tonnes","16431","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2016","2016","1000 tonnes","14801","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2017","2017","1000 tonnes","18088","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2018","2018","1000 tonnes","17367","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2019","2019","1000 tonnes","14597","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5911","Export Quantity","S2807","Rice and products","2020","2020","1000 tonnes","21693","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2010","2010","1000 tonnes","136140","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2011","2011","1000 tonnes","148011","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2012","2012","1000 tonnes","141509","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2013","2013","1000 tonnes","146305","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2014","2014","1000 tonnes","147981","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2015","2015","1000 tonnes","140458","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2016","2016","1000 tonnes","145681","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2017","2017","1000 tonnes","147331","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2018","2018","1000 tonnes","146992","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2019","2019","1000 tonnes","153532","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5301","Domestic supply quantity","S2807","Rice and products","2020","2020","1000 tonnes","153471","I","Imputed value"
