Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1966","1966","1000 US$","2675","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1967","1967","1000 US$","2791","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1968","1968","1000 US$","1283","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1969","1969","1000 US$","2418","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1970","1970","1000 US$","2350","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1971","1971","1000 US$","4566","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1972","1972","1000 US$","3075","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1973","1973","1000 US$","2739","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1974","1974","1000 US$","212","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1975","1975","1000 US$","608","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1976","1976","1000 US$","194","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1977","1977","1000 US$","751","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1978","1978","1000 US$","3777","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1979","1979","1000 US$","2500","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1980","1980","1000 US$","251","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1981","1981","1000 US$","804","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1982","1982","1000 US$","659","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1983","1983","1000 US$","539","A","Official figure"
"RM","Machinery","356","India","5622","Import Value","2455017","Agricultural machinery nes (trade)","1984","1984","1000 US$","776","A","Official figure"
