Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1991","1991","7021","Annual value","LCU","3648","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1992","1992","7021","Annual value","LCU","3962","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1993","1993","7021","Annual value","LCU","4311","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1994","1994","7021","Annual value","LCU","4410","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1995","1995","7021","Annual value","LCU","4890","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1996","1996","7021","Annual value","LCU","5474","X","Figure from international organizations"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1997","1997","7021","Annual value","LCU","4336","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1998","1998","7021","Annual value","LCU","4940","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","1999","1999","7021","Annual value","LCU","6224","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2000","2000","7021","Annual value","LCU","5960","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2001","2001","7021","Annual value","LCU","5877.3","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2002","2002","7021","Annual value","LCU","6033.5","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2003","2003","7021","Annual value","LCU","6251.9","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2004","2004","7021","Annual value","LCU","9410","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2005","2005","7021","Annual value","LCU","8980","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2006","2006","7021","Annual value","LCU","11731.3","A","Official figure"
"PP","Producer Prices","356","India","5530","Producer Price (LCU/tonne)","0113","Rice","2008","2008","7021","Annual value","LCU","16780.4","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1991","1991","7021","Annual value","SLC","3648","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1992","1992","7021","Annual value","SLC","3962","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1993","1993","7021","Annual value","SLC","4311","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1994","1994","7021","Annual value","SLC","4410","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1995","1995","7021","Annual value","SLC","4890","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1996","1996","7021","Annual value","SLC","5474","X","Figure from international organizations"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1997","1997","7021","Annual value","SLC","4336","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1998","1998","7021","Annual value","SLC","4940","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","1999","1999","7021","Annual value","SLC","6224","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2000","2000","7021","Annual value","SLC","5960","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2001","2001","7021","Annual value","SLC","5877.3","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2002","2002","7021","Annual value","SLC","6033.5","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2003","2003","7021","Annual value","SLC","6251.9","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2004","2004","7021","Annual value","SLC","9410","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2005","2005","7021","Annual value","SLC","8980","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2006","2006","7021","Annual value","SLC","11731.3","A","Official figure"
"PP","Producer Prices","356","India","5531","Producer Price (SLC/tonne)","0113","Rice","2008","2008","7021","Annual value","SLC","16780.4","A","Official figure"
"PP","Producer Prices","356","India","5532","Producer Price (USD/tonne)","0113","Rice","1991","1991","7021","Annual value","USD","160.4","A","Official figure"
"PP","Producer Prices","356","India","5532","Producer Price (USD/tonne)","0113","Rice","1992","1992","7021","Annual value","USD","152.9","A","Official figure"
"PP","Producer Prices","356","India","5532","Producer Price (USD/tonne)","0113","Rice","1993","1993","7021","Annual value","USD","141.4","A","Official figure"
"PP","Producer Prices","356","India","5532","Producer Price (USD/tonne)","0113","Rice","1994","1994","7021","Annual value","USD","140.6","A","Official figure"
