Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2011","2011","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2012","2012","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2013","2013","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2014","2014","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2015","2015","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2016","2016","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2017","2017","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2018","2018","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2019","2019","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","0113","Rice","2020","2020","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2010","2010","tonnes","143963008","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2011","2011","tonnes","157900000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2012","2012","tonnes","157800000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2013","2013","tonnes","159200000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2014","2014","tonnes","157200000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2015","2015","tonnes","156540000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2016","2016","tonnes","163700000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2017","2017","tonnes","168500000","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2018","2018","tonnes","174716730","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2019","2019","tonnes","174716730","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","0113","Rice","2020","2020","tonnes","178305480","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2010","2010","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2011","2011","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2012","2012","tonnes","1","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2013","2013","tonnes","2","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2014","2014","tonnes","201.69","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2016","2016","tonnes","13.99","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2017","2017","tonnes","4.9","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2018","2018","tonnes","63.43","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2019","2019","tonnes","41.04","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","0113","Rice","2020","2020","tonnes","0.3","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2011","2011","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2012","2012","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2013","2013","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2014","2014","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2015","2015","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2016","2016","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2017","2017","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2018","2018","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2019","2019","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","0113","Rice","2020","2020","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2010","2010","tonnes","11078","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2011","2011","tonnes","38687","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2012","2012","tonnes","251173","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2013","2013","tonnes","241330","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2014","2014","tonnes","181609.73","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2015","2015","tonnes","200212.4","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2016","2016","tonnes","103803.06","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2017","2017","tonnes","167297.35","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2018","2018","tonnes","242697.81","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2019","2019","tonnes","247392.28","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","0113","Rice","2020","2020","tonnes","414411.78","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2010","2010","tonnes","136363979","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2011","2011","tonnes","147277714","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2012","2012","tonnes","147223451","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2013","2013","tonnes","147363504","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2014","2014","tonnes","146261466.55","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2015","2015","tonnes","146800000","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2016","2016","tonnes","152119932.25","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2017","2017","tonnes","156680966.35","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2018","2018","tonnes","162355969.51","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2019","2019","tonnes","162324931.19","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5023","Processed","0113","Rice","2020","2020","tonnes","165540590.67","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2014","2014","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2015","2015","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2016","2016","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2017","2017","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2018","2018","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2019","2019","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5166","Residuals","0113","Rice","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2010","2010","tonnes","777421","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2011","2011","tonnes","777421","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2012","2012","tonnes","777421","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2013","2013","tonnes","777421","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2014","2014","tonnes","777421.01","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2015","2015","tonnes","827421.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2016","2016","tonnes","2421.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2017","2017","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2018","2018","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2019","2019","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5113","Opening stocks","23161.03","Rice, broken","2020","2020","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2010","2010","tonnes","4719717","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2011","2011","tonnes","5057821","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2012","2012","tonnes","4869107","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2013","2013","tonnes","5002114","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2014","2014","tonnes","5095800.75","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2015","2015","tonnes","4823744.77","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2016","2016","tonnes","4966631.1","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2017","2017","tonnes","5047884.67","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2018","2018","tonnes","5025535.47","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2019","2019","tonnes","5040000","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5510","Production","23161.03","Rice, broken","2020","2020","tonnes","4890000","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2010","2010","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2011","2011","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2012","2012","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2013","2013","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2014","2014","tonnes","100","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2017","2017","tonnes","48","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2018","2018","tonnes","156.24","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2019","2019","tonnes","663.49","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5610","Import Quantity","23161.03","Rice, broken","2020","2020","tonnes","25","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2011","2011","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2012","2012","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2013","2013","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2014","2014","tonnes","50000","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2015","2015","tonnes","-825000","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2016","2016","tonnes","-2421.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2017","2017","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2018","2018","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2019","2019","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5071","Stock Variation","23161.03","Rice, broken","2020","2020","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2010","2010","tonnes","217","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2011","2011","tonnes","217822","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2012","2012","tonnes","875039","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2013","2013","tonnes","1015576","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2014","2014","tonnes","931257.83","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2015","2015","tonnes","1146554.77","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2016","2016","tonnes","729616.88","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2017","2017","tonnes","1220883.3","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2018","2018","tonnes","1367596.82","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","356","India","5910","Export Quantity","23161.03","Rice, broken","2019","2019","tonnes","311003.69","A","Official figure"
