Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","1","Total","2001","2001","6199","Value","3018","Employment surveys","1000 persons","114.36","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","1","Total","2003","2003","6199","Value","3018","Employment surveys","1000 persons","117.34","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","1","Total","2005","2005","6199","Value","3018","Employment surveys","1000 persons","124.98","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","1","Total","2006","2006","6199","Value","3018","Employment surveys","1000 persons","136","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","1","Total","2008","2008","6199","Value","3018","Employment surveys","1000 persons","136","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","2","Male","2001","2001","6199","Value","3018","Employment surveys","1000 persons","96.15","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","2","Male","2003","2003","6199","Value","3018","Employment surveys","1000 persons","98.08","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","2","Male","2005","2005","6199","Value","3018","Employment surveys","1000 persons","102","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","2","Male","2006","2006","6199","Value","3018","Employment surveys","1000 persons","111","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","2","Male","2008","2008","6199","Value","3018","Employment surveys","1000 persons","112","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","3","Female","2001","2001","6199","Value","3018","Employment surveys","1000 persons","18.21","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","3","Female","2003","2003","6199","Value","3018","Employment surveys","1000 persons","19.26","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","3","Female","2005","2005","6199","Value","3018","Employment surveys","1000 persons","22.98","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","3","Female","2006","2006","6199","Value","3018","Employment surveys","1000 persons","25","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21066","Employment in agriculture, forestry and fishing by age, total (15+)","3","Female","2008","2008","6199","Value","3018","Employment surveys","1000 persons","24","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2001","2001","6121","Value","3018","Employment surveys","%","4.7","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2003","2003","6121","Value","3018","Employment surveys","%","4.8","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2005","2005","6121","Value","3018","Employment surveys","%","4.6","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2006","2006","6121","Value","3018","Employment surveys","%","5","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","1","Total","2008","2008","6121","Value","3018","Employment surveys","%","4.8","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2001","2001","6121","Value","3018","Employment surveys","%","6.8","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2003","2003","6121","Value","3018","Employment surveys","%","7","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2005","2005","6121","Value","3018","Employment surveys","%","6.6","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2006","2006","6121","Value","3018","Employment surveys","%","7.3","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","2","Male","2008","2008","6121","Value","3018","Employment surveys","%","6.9","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2001","2001","6121","Value","3018","Employment surveys","%","1.8","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
"OEA","Employment Indicators: Agriculture","608","Philippines","21155","Share of employment in agriculture, forestry and fishing in total employment","3","Female","2003","2003","6121","Value","3018","Employment surveys","%","1.9","X","Figure from international organizations","Establishment size coverage: All establishments with at least 20 employees"
