Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2011","2011","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2012","2012","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2013","2013","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2014","2014","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2015","2015","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2016","2016","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2017","2017","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2018","2018","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2019","2019","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5113","Opening stocks","0113","Rice","2020","2020","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2010","2010","tonnes","15772319","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2011","2011","tonnes","16684062","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2012","2012","tonnes","18032525","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2013","2013","tonnes","18439420","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2014","2014","tonnes","18967826","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2015","2015","tonnes","18149838","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2016","2016","tonnes","17627245","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2017","2017","tonnes","19276347","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2018","2018","tonnes","19066094","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2019","2019","tonnes","18814827.29","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5510","Production","0113","Rice","2020","2020","tonnes","19294855.51","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","0113","Rice","2010","2010","tonnes","3058","A","Official figure"
