Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1972","1972","tonnes","18600","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1973","1973","tonnes","18000","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1974","1974","tonnes","28800","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1975","1975","tonnes","40200","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1976","1976","tonnes","52000","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1977","1977","tonnes","47900","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1978","1978","tonnes","75485","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1979","1979","tonnes","51342","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1980","1980","tonnes","154634","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1981","1981","tonnes","71650","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1982","1982","tonnes","26377","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1983","1983","tonnes","25816","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1984","1984","tonnes","28456","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1985","1985","tonnes","151135","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1986","1986","tonnes","114187","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1987","1987","tonnes","136423","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1988","1988","tonnes","116076","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1989","1989","tonnes","150486","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1990","1990","tonnes","164500","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1991","1991","tonnes","152100","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1992","1992","tonnes","68800","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1993","1993","tonnes","141000","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1994","1994","tonnes","140100","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1995","1995","tonnes","215500","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1996","1996","tonnes","223800","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1997","1997","tonnes","199400","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1998","1998","tonnes","181600","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","1999","1999","tonnes","160300","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","2000","2000","tonnes","144400","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1402","Ammonia","2001","2001","tonnes","148000","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1362","Ammonium nitrate (AN)","1973","1973","tonnes","52","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1362","Ammonium nitrate (AN)","1974","1974","tonnes","4500","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5157","Agricultural Use","1362","Ammonium nitrate (AN)","1973","1973","tonnes","52","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5157","Agricultural Use","1362","Ammonium nitrate (AN)","1974","1974","tonnes","494","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1973","1973","tonnes","26242","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1974","1974","tonnes","38792","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1975","1975","tonnes","17400","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1976","1976","tonnes","21000","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1981","1981","tonnes","18540","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1985","1985","tonnes","74400","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1986","1986","tonnes","228200","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1987","1987","tonnes","107300","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1988","1988","tonnes","94800","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1989","1989","tonnes","81400","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1990","1990","tonnes","65700","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1991","1991","tonnes","43700","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1992","1992","tonnes","44100","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1993","1993","tonnes","19600","T","Unofficial figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1994","1994","tonnes","35793","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1995","1995","tonnes","60904","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1996","1996","tonnes","69252","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1997","1997","tonnes","52691","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1998","1998","tonnes","33282","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","1999","1999","tonnes","40624","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5510","Production","1379","Ammonium Phosphat (P2o5)","2000","2000","tonnes","17107","A","Official figure"
"RA","Fertilizers archive","608","Philippines","5610","Import Quantity","1379","Ammonium Phosphat (P2o5)","1973","1973","tonnes","5995","A","Official figure"
