Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1961","1961","3050","FAO TIER 1","ha","3179190","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1961","1961","3050","FAO TIER 1","kilotonnes","1063.6457","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1962","1962","3050","FAO TIER 1","ha","3161320","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1962","1962","3050","FAO TIER 1","kilotonnes","1057.667","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1963","1963","3050","FAO TIER 1","ha","3087450","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1963","1963","3050","FAO TIER 1","kilotonnes","1032.9527","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1964","1964","3050","FAO TIER 1","ha","3199670","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1964","1964","3050","FAO TIER 1","kilotonnes","1070.4976","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1965","1965","3050","FAO TIER 1","ha","3109180","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1965","1965","3050","FAO TIER 1","kilotonnes","1040.2228","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1966","1966","3050","FAO TIER 1","ha","3096120","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1966","1966","3050","FAO TIER 1","kilotonnes","1035.8534","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1967","1967","3050","FAO TIER 1","ha","3304000","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1967","1967","3050","FAO TIER 1","kilotonnes","1105.4028","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1968","1968","3050","FAO TIER 1","ha","3332150","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1968","1968","3050","FAO TIER 1","kilotonnes","1114.8208","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1969","1969","3050","FAO TIER 1","ha","3195830","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1969","1969","3050","FAO TIER 1","kilotonnes","1069.2129","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1970","1970","3050","FAO TIER 1","ha","3195000","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1970","1970","3050","FAO TIER 1","kilotonnes","1068.9352","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1971","1971","3050","FAO TIER 1","ha","3332290","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1971","1971","3050","FAO TIER 1","kilotonnes","1114.8676","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1972","1972","3050","FAO TIER 1","ha","3194150","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1972","1972","3050","FAO TIER 1","kilotonnes","1068.6508","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1973","1973","3050","FAO TIER 1","ha","3527750","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1973","1973","3050","FAO TIER 1","kilotonnes","1180.2617","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1974","1974","3050","FAO TIER 1","ha","3632490","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1974","1974","3050","FAO TIER 1","kilotonnes","1215.304","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1975","1975","3050","FAO TIER 1","ha","3674040","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1975","1975","3050","FAO TIER 1","kilotonnes","1229.2052","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1976","1976","3050","FAO TIER 1","ha","3641380","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1976","1976","3050","FAO TIER 1","kilotonnes","1218.2783","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1977","1977","3050","FAO TIER 1","ha","3601700","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1977","1977","3050","FAO TIER 1","kilotonnes","1205.0028","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1978","1978","3050","FAO TIER 1","ha","3560700","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1978","1978","3050","FAO TIER 1","kilotonnes","1191.2856","E","Estimated value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","1979","1979","3050","FAO TIER 1","ha","3636810","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","7225","Emissions (CH4)","0113","Rice","1979","1979","3050","FAO TIER 1","kilotonnes","1216.7493","E","Estimated value",""
