Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2010","2010","1000 tonnes","15772","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2011","2011","1000 tonnes","16684","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2012","2012","1000 tonnes","18033","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2013","2013","1000 tonnes","18439","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2014","2014","1000 tonnes","18968","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2015","2015","1000 tonnes","18150","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2016","2016","1000 tonnes","17627","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2017","2017","1000 tonnes","19276","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2018","2018","1000 tonnes","19066","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2019","2019","1000 tonnes","18815","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5511","Production","S2807","Rice and products","2020","2020","1000 tonnes","19295","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2010","2010","1000 tonnes","3676","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2011","2011","1000 tonnes","1130","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2012","2012","1000 tonnes","1590","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2013","2013","1000 tonnes","642","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2014","2014","1000 tonnes","1751","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2015","2015","1000 tonnes","1901","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2016","2016","1000 tonnes","722","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2017","2017","1000 tonnes","1346","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2018","2018","1000 tonnes","2700","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2019","2019","1000 tonnes","4634","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5611","Import Quantity","S2807","Rice and products","2020","2020","1000 tonnes","2921","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2010","2010","1000 tonnes","1814","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2011","2011","1000 tonnes","-96","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2012","2012","1000 tonnes","1050","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2013","2013","1000 tonnes","-177","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2014","2014","1000 tonnes","1151","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2015","2015","1000 tonnes","-503","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2016","2016","1000 tonnes","-178","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2017","2017","1000 tonnes","438","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2018","2018","1000 tonnes","1321","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2019","2019","1000 tonnes","1312","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5072","Stock Variation","S2807","Rice and products","2020","2020","1000 tonnes","296","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2010","2010","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2011","2011","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2012","2012","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2013","2013","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2014","2014","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2015","2015","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2016","2016","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2017","2017","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2019","2019","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5911","Export Quantity","S2807","Rice and products","2020","2020","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2010","2010","1000 tonnes","17635","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2011","2011","1000 tonnes","17909","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2012","2012","1000 tonnes","18572","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2013","2013","1000 tonnes","19254","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2014","2014","1000 tonnes","19566","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2015","2015","1000 tonnes","20554","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2016","2016","1000 tonnes","18526","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2017","2017","1000 tonnes","20183","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2018","2018","1000 tonnes","20444","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2019","2019","1000 tonnes","22136","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5301","Domestic supply quantity","S2807","Rice and products","2020","2020","1000 tonnes","21919","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2010","2010","1000 tonnes","516","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2011","2011","1000 tonnes","546","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2012","2012","1000 tonnes","590","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2013","2013","1000 tonnes","784","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2014","2014","1000 tonnes","620","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2015","2015","1000 tonnes","594","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2016","2016","1000 tonnes","576","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2017","2017","1000 tonnes","630","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2018","2018","1000 tonnes","654","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2019","2019","1000 tonnes","615","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5521","Feed","S2807","Rice and products","2020","2020","1000 tonnes","631","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2010","2010","1000 tonnes","214","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2011","2011","1000 tonnes","223","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2012","2012","1000 tonnes","230","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2013","2013","1000 tonnes","233","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2014","2014","1000 tonnes","232","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2015","2015","1000 tonnes","228","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2016","2016","1000 tonnes","223","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2017","2017","1000 tonnes","236","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2018","2018","1000 tonnes","235","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2019","2019","1000 tonnes","228","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5527","Seed","S2807","Rice and products","2020","2020","1000 tonnes","231","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2010","2010","1000 tonnes","154","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2011","2011","1000 tonnes","163","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2012","2012","1000 tonnes","177","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2013","2013","1000 tonnes","180","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2014","2014","1000 tonnes","186","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2015","2015","1000 tonnes","178","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2016","2016","1000 tonnes","173","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2017","2017","1000 tonnes","189","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2018","2018","1000 tonnes","187","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2019","2019","1000 tonnes","185","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5123","Losses","S2807","Rice and products","2020","2020","1000 tonnes","189","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2010","2010","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2011","2011","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2012","2012","1000 tonnes","6","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2013","2013","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2014","2014","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2015","2015","1000 tonnes","5","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2016","2016","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2017","2017","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2018","2018","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2019","2019","1000 tonnes","14","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5131","Processing","S2807","Rice and products","2020","2020","1000 tonnes","9","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2010","2010","1000 tonnes","34","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2011","2011","1000 tonnes","43","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2012","2012","1000 tonnes","42","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2013","2013","1000 tonnes","28","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2014","2014","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2015","2015","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2016","2016","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2017","2017","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2019","2019","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5154","Other uses (non-food)","S2807","Rice and products","2020","2020","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2010","2010","1000 tonnes","467","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2011","2011","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2012","2012","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2013","2013","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2014","2014","1000 tonnes","12","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2015","2015","1000 tonnes","-40","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2016","2016","1000 tonnes","117","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2017","2017","1000 tonnes","14","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2018","2018","1000 tonnes","-21","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2019","2019","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5170","Residuals","S2807","Rice and products","2020","2020","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2010","2010","1000 tonnes","16245","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2011","2011","1000 tonnes","16929","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2012","2012","1000 tonnes","17527","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2013","2013","1000 tonnes","18027","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2014","2014","1000 tonnes","18510","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2015","2015","1000 tonnes","19586","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2016","2016","1000 tonnes","17433","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2017","2017","1000 tonnes","19109","I","Imputed value"
"FBS","Food Balances (2010-)","608","Philippines","5142","Food","S2807","Rice and products","2018","2018","1000 tonnes","19384","I","Imputed value"
