Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1965","1965","1000 US$","453","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1970","1970","1000 US$","5500","E","Estimated value"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1971","1971","1000 US$","6016","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1972","1972","1000 US$","6299","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1973","1973","1000 US$","7455","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1974","1974","1000 US$","13025","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1975","1975","1000 US$","14530","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1976","1976","1000 US$","14296","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1977","1977","1000 US$","1331","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1978","1978","1000 US$","1140","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1979","1979","1000 US$","1246","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1980","1980","1000 US$","7034","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1981","1981","1000 US$","5387","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1982","1982","1000 US$","2660","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1983","1983","1000 US$","1952","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1984","1984","1000 US$","519","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1985","1985","1000 US$","690","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1986","1986","1000 US$","695","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1987","1987","1000 US$","1340","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1988","1988","1000 US$","4190","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1989","1989","1000 US$","1834","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1990","1990","1000 US$","3356","A","Official figure"
"RM","Machinery","608","Philippines","5622","Import Value","2455017","Agricultural machinery nes (trade)","1991","1991","1000 US$","3351","A","Official figure"
