Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1991","1991","7021","Annual value","LCU","4770","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1992","1992","7021","Annual value","LCU","4820","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1993","1993","7021","Annual value","LCU","5400","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1994","1994","7021","Annual value","LCU","5900","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1995","1995","7021","Annual value","LCU","7240","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1996","1996","7021","Annual value","LCU","8130","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1997","1997","7021","Annual value","LCU","7920","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1998","1998","7021","Annual value","LCU","8300","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","1999","1999","7021","Annual value","LCU","7870","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2000","2000","7021","Annual value","LCU","8420","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2001","2001","7021","Annual value","LCU","8170","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2002","2002","7021","Annual value","LCU","8820","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2003","2003","7021","Annual value","LCU","8840","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2004","2004","7021","Annual value","LCU","9450","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2005","2005","7021","Annual value","LCU","10430","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2006","2006","7021","Annual value","LCU","10460","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2007","2007","7021","Annual value","LCU","11220","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2008","2008","7021","Annual value","LCU","14130","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2009","2009","7021","Annual value","LCU","14630","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7021","Annual value","LCU","14870","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7001","January","LCU","15230","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7002","February","LCU","15470","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7003","March","LCU","15690","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7004","April","LCU","14630","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7005","May","LCU","15190","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7006","June","LCU","15350","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7007","July","LCU","15560","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7008","August","LCU","15200","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7009","September","LCU","13840","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7010","October","LCU","13900","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7011","November","LCU","13910","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2010","2010","7012","December","LCU","14500","A","Official figure"
"PP","Producer Prices","608","Philippines","5530","Producer Price (LCU/tonne)","0113","Rice","2011","2011","7021","Annual value","LCU","15170","A","Official figure"
