Year,State,Cold wave,Dust storm,Floods and H R,Gale,Heat Wave,Lightning,Snowfall,Squall,Thunderstorm
2017,Andhra Pradesh,NA,NA,NA,NA,1,6,NA,NA,NA
2017,Arunachal Pradesh,NA,NA,1,1,NA,NA,NA,NA,NA
2017,Assam,NA,NA,9,NA,NA,1,NA,1,9
2017,Bihar,NA,NA,4,NA,NA,13,NA,1,11
2017,Chhattisgarh,NA,NA,2,NA,NA,1,NA,NA,5
2017,Gujarat,NA,NA,1,NA,NA,1,NA,NA,NA
2017,Himachal Pradesh,2,NA,9,NA,NA,5,NA,1,NA
2017,Jammu & Kashmir,NA,NA,4,1,NA,3,5,NA,2
2017,Jharkhand,NA,NA,NA,NA,2,2,NA,NA,19
2017,Karnataka,NA,NA,17,2,NA,24,NA,NA,6
2017,Kerala,NA,NA,5,1,NA,1,NA,NA,NA
2017,Madhya Pradesh,1,NA,NA,NA,NA,9,NA,NA,NA
2017,Maharashtra,NA,NA,9,NA,6,28,NA,NA,NA
2017,Manipur,NA,NA,1,NA,NA,NA,NA,NA,NA
2017,Meghalaya,NA,NA,1,NA,NA,NA,NA,NA,NA
2017,Nagaland,NA,NA,1,NA,NA,NA,NA,NA,NA
2017,Odisha,NA,NA,2,NA,8,7,NA,NA,1
2017,Rajasthan,1,2,7,NA,NA,10,NA,NA,NA
2017,Sikkim,NA,NA,1,NA,NA,NA,NA,NA,NA
2017,Tamil Nadu,NA,NA,4,2,NA,7,NA,NA,6
2017,Telangana,NA,NA,NA,NA,12,3,NA,NA,7
2017,Tripura,NA,NA,2,NA,NA,NA,NA,NA,NA
2017,Uttar Pradesh,5,NA,4,NA,NA,6,NA,NA,5
2017,Uttarakhand,NA,NA,2,NA,NA,1,1,NA,NA
2017,West Bengal,NA,NA,2,NA,1,3,NA,3,8
2018,J&K,NA,NA,6,3,NA,NA,3,5,NA
2018,Bihar,7,NA,NA,NA,NA,NA,NA,NA,8
2018,Uttar Pradesh,4,4,21,NA,2,NA,14,NA,10
2018,Maharashtra,2,NA,10,NA,5,NA,5,NA,3
2018,Madhya Pradesh,1,2,5,NA,NA,NA,5,NA,NA
2018,Rajashtan,1,3,7,NA,NA,NA,9,NA,3
2018,Jharkhand,4,NA,NA,NA,1,NA,NA,NA,32
2018,Kerala,NA,NA,22,NA,3,NA,6,NA,6
2018,Chattisgarh,NA,NA,NA,NA,1,NA,1,NA,8
2018,West Bengal,NA,NA,2,NA,NA,3,1,NA,19
2018,Andhra Pradesh,NA,NA,1,NA,NA,1,NA,NA,NA
2018,Karnataka,NA,NA,5,4,NA,NA,2,NA,9
2018,Odisha,NA,NA,1,NA,NA,NA,5,NA,NA
2018,Assam,NA,NA,3,NA,NA,NA,NA,NA,7
2018,Arunachal Pradesh,NA,NA,1,NA,NA,NA,NA,NA,NA
2018,Gujrat,NA,NA,2,NA,NA,NA,NA,NA,NA
2018,Manipur,NA,NA,1,NA,NA,NA,NA,NA,NA
2018,Mizoram,NA,NA,1,NA,NA,NA,NA,NA,NA
2018,Punjab,NA,NA,1,NA,NA,NA,NA,NA,NA
2018,Tamilnadu,NA,NA,3,NA,NA,NA,NA,NA,NA
2018,Uttarkhand,NA,NA,1,NA,NA,NA,NA,NA,NA
2019,J & K,NA,NA,7,NA,NA,4,9,NA,NA
2019,Madhya Pradesh,1,NA,4,NA,NA,7,NA,NA,1
2019,Maharashtra,1,NA,11,15,1,12,NA,NA,NA
2019,Kerala,NA,NA,NA,6,NA,12,NA,NA,NA
2019,Bihar,NA,NA,2,4,NA,NA,NA,NA,10
2019,Rajasthan,NA,1,16,1,NA,3,NA,NA,NA
2019,Jharkhand,NA,NA,2,NA,2,NA,NA,NA,23
2019,Assam,NA,NA,1,NA,NA,1,NA,NA,1
2019,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,6
2019,Mizorm,NA,NA,1,NA,NA,NA,NA,NA,NA
