Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1961","1961","1000 Int. $","20920068","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1962","1962","1000 Int. $","19485256","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1963","1963","1000 Int. $","21703190","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1964","1964","1000 Int. $","23058243","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1965","1965","1000 Int. $","17943641","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1966","1966","1000 Int. $","17855065","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1967","1967","1000 Int. $","22063480","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1968","1968","1000 Int. $","23324095","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1969","1969","1000 Int. $","23716234","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1970","1970","1000 Int. $","24769488","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1971","1971","1000 Int. $","25263875","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1972","1972","1000 Int. $","23021463","E","Estimated value"
"QV","Value of Agricultural Production","356","India","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1973","1973","1000 Int. $","25840705","E","Estimated value"
