Crop,Provinces,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Irrigated Palay,Abra,8620,8120,8720,8810,8470,8230,8160,7610,11780,12330,12020,11530,11982,12146,12186,12336,12466,12642,12652,12684,13720,13775,14755,14763,14804,14915,14920,14950,14927,14919,14934,14480,14549,14548.87,14549.27,14548.9
Irrigated Palay,Apayao,0,0,0,0,0,0,0,10990,11904,11806,11957,12047,9698,12155,15075,15104,15378,17535,17467,18020,16276,16968,17140,17140,17319,17372,17358,16267.4,16270,15968,16877,15933,17522,17805.46,17137,17110.03
Irrigated Palay,Benguet,3320,3580,3950,3600,2990,3430,3630,3860,3916,4094,4184,3816,4285,4623,5016,5098,4893,5150,5232,5300,5340,5304,5230,5188,5081,5200,5200,5200,5200,5276,5755,5877,5903,5903,5903,5903.32
Irrigated Palay,Ifugao,9740,9020,9430,8410,7110,9040,9030,8850,11881,11607,13064,11661,12713,13278,13288,13224,12922,13451,13952,14804,15994,16387,16287,16132,16336,16336,16374,16399,16399,16393,16388,16382,15582,14899.82,12236.33,11246.65
Irrigated Palay,Kalinga,25520,28380,22420,24700,23740,23900,24390,20020,21111,21060,21616,17934,21814,21084,31687,29951,29112,30460,29110,32084,32138,34112,33682,32724,34031,34739,35023,35098,29485,31244,34011,33515,32656,23570,26477.81,26454.49
Irrigated Palay,Mountain Province,7450,8100,6890,6840,7400,6780,5940,6040,6943,6915,6750,6780,6853,7141,7317,7440,7364,7989,8046,7884,7349,6465,6171,5318,5472,5506,5477,5387,4240,4206,4240,4233,4100,4205.25,4244,4220.44
Irrigated Palay,Ilocos Norte,26150,29650,26690,32430,35690,35530,31420,34230,37155,45047,44953,43880,51420,50594,51393,51723,51165,52617,53034,50155,50963,54069,54694,54843,54682,55082,55359,54889,54785,54334,54801,54579,54594,54853,54616,54315
Irrigated Palay,Ilocos Sur,15010,14600,13370,12490,12070,12080,15640,18350,17965,17276,16573,16481,16723,18580,19783,19323,21750,24633,24939,24259,24872,24463,24517,25101,25394,26511,27925,28261,28164,27972,29516,30362,31512.68,32376,32155,31231.35
Irrigated Palay,La Union,15950,16490,18890,22150,18780,14940,20270,19980,16903,16978,17831,17548,18685,19593,19762,19971,17672,19184,19123,20910,21309,22142,22056,19850,21453,22259,21570,22571,23993,23988,24462,23629.39,24079,24613,24219,24279
Irrigated Palay,Pangasinan,112050,108040,98580,101370,105610,98730,99160,99150,106262,125954,131708,109163,144918,140798,142882,141705,143974,147573,147612,142634,140695,146360,154297,160963,162104,169519,174895,180102,178998,179378,176784,172941,172758,171774,173493,173834
Irrigated Palay,Batanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1.43,3.41,1.25,0.45,0,0,0,0,0,0
Irrigated Palay,Cagayan,62310,74950,77550,68030,62360,61640,55280,89970,88349,92256,111424,108018,112050,116036,117462,114884,111372,114739,109979,137466,132627,142846,134334,141685,159572,167224,176227,176932,174245,158567,176058,152581,173083,179823,187462,192649
Irrigated Palay,Isabela,163460,166500,173990,182340,177810,185680,163530,175340,200949,198713,203826,172856,231403,237073,240767,214258,218194,239971,250607,230856,230018,241444,241632,232438,248420,255278,258780,262366,260535,259444,258309,258909,267100,269960,270670,271501
