Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1961","1961","1000 Int. $","1529121","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1962","1962","1000 Int. $","1551365","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1963","1963","1000 Int. $","1502826","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1964","1964","1000 Int. $","1561306","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1965","1965","1000 Int. $","1592684","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1966","1966","1000 Int. $","1601047","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1967","1967","1000 Int. $","1783551","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1968","1968","1000 Int. $","1738170","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1969","1969","1000 Int. $","2136833","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1970","1970","1000 Int. $","2181544","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1971","1971","1000 Int. $","2082396","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1972","1972","1000 Int. $","1802637","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1973","1973","1000 Int. $","2017488","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1974","1974","1000 Int. $","2195959","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1975","1975","1000 Int. $","2390232","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1976","1976","1000 Int. $","2558616","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1977","1977","1000 Int. $","2836971","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1978","1978","1000 Int. $","2820245","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1979","1979","1000 Int. $","3005289","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1980","1980","1000 Int. $","2990309","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1981","1981","1000 Int. $","3093648","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1982","1982","1000 Int. $","3337282","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1983","1983","1000 Int. $","2852817","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1984","1984","1000 Int. $","3061637","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1985","1985","1000 Int. $","3443602","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","1986","1986","1000 Int. $","3616138","E","Estimated value"
