Country,Water Per Capita,GDP/Capita,GDP
Afghanistan,2008,618.33279,21969414112
Albania,10425,4868.197347,13988555743
Algeria,294.2,4825.178585,1.99367E+11
Andorra,4479,43942.93819,3382068238
Angola,5931,3484.599515,1.03786E+11
Antigua and Barbuda,566.3,13618.3597,1389236110
Argentina,20181,10398.09246,4.60334E+11
Armenia,2574,4219.368549,12364648565
Australia,20527,55925.93182,1.37572E+12
Austria,9093,49129.23366,4.3279E+11
Azerbaijan,3555,5805.134535,57252727187
"Bahamas, The",1804,26538.94563,10492464085
Bahrain,84.24,22111.47724,33003237141
Bangladesh,7621,1093.049274,1.79992E+11
Barbados,281.5,16503.47836,4715357333
Belarus,6097,6375.81729,60620473815
Belgium,1620,46078.92909,5.24013E+11
Belize,60479,4315.224989,1616832814
Benin,2426,859.9526858,9610566351
Bhutan,100671,2955.811114,2387142614
Bolivia,53520,2522.79392,27880909289
Bosnia and Herzegovina,9843,5561.287951,19503531388
Botswana,5411,7523.21632,17240661435
Brazil,41603,10888.98239,2.27894E+12
Brunei Darussalam,20085,31439.92372,13478200979
Bulgaria,2979,8311.930899,58815148233
Burkina Faso,745.6,688.5338914,13215293997
Burundi,1122,212.5474221,2309167268
Cabo Verde,576.4,3536.956871,1932550791
Cambodia,30562,1135.151902,18168529608
Cameroon,12127,1503.534595,36165610684
Canada,80746,51315.88897,1.88371E+12
Central African Republic,28776,335.0260856,1560913335
Chad,3256,823.4348917,12269174946
Chile,51432,15059.53014,2.71896E+11
China,2018,7329.089299,1.0161E+13
Colombia,48933,7600.759144,3.72936E+11
Comoros,1522,769.9297656,626655075.3
"Congo, Dem. Rep.",16605,409.1173695,33277601928
"Congo, Rep.",180087,2576.396117,13553775872
Costa Rica,23502,9791.995681,48037268859
Cote d'Ivoire,3706,1632.677493,39665491529
Croatia,24882,15219.88279,62792670406
Cuba,3347,6444.980113,73868701308
Czech Republic,1247,22779.2919,2.41263E+11
Denmark,1058,61582.16607,3.55305E+11
Djibouti,337.9,1325.990724,1128611700
Dominica,2752,6556.65178,484700482.8
Dominican Republic,2232,7153.078718,77017184252
Ecuador,27403,5269.61757,87606643822
"Egypt, Arab Rep.",637.1,2785.370021,2.71722E+11
El Salvador,4288,3463.543578,22089971803
Equatorial Guinea,30766,11486.61096,14561450359
Eritrea,1399,514.1795982,2300794306
Estonia,9756,18977.3944,24964382783
Eswatini,3504,3914.016859,5351455207
Ethiopia,1227,549.8478728,57710624015
Fiji,32003,4322.986238,3914472684
Finland,19989,47057.61905,2.59349E+11
France,3277,42567.74365,2.85709E+12
Gabon,96232,9442.026283,19121396781
"Gambia, The",4018,534.2694836,1122269381
Georgia,15832,4290.16785,15946982916
Germany,1909,46747.19247,3.86576E+12
Ghana,2050,1813.835583,52299462264
Greece,6244,23027.41345,2.47785E+11
Grenada,1873,8957.592461,965852407.1
Guatemala,7826,3124.210359,52841341286
Guinea,17924,822.9256352,10465290137
Guinea-Bissau,17028,604.6245442,1125377386
Guyana,353279,3871.390695,3011396094
Haiti,1310,728.9204029,8004441867
Honduras,11413,2210.587281,20481239263
Hungary,10553,15647.84603,1.53054E+11
Iceland,516090,49910.00552,17033486324
India,1458,1963.546321,2.62954E+12
Indonesia,7839,4130.663276,1.09046E+12
"Iran, Islamic Rep.",1732,6946.856581,5.63826E+11
Iraq,2467,5545.937291,2.12269E+11
Ireland,11092,74433.45566,3.58293E+11
Israel,220.7,34134.80561,2.97396E+11
Italy,3199,34877.82914,2.1119E+12
Jamaica,3874,4798.208499,13868257227
Japan,3397,48556.92724,6.15633E+12
Jordan,123.4,3238.252005,31418664053
Kazakhstan,6150,10857.37728,1.95842E+11
Kenya,666.7,1169.343647,58116217884
"Korea, Rep.",1386,26152.03077,1.34595E+12
Kuwait,5.14,33545.61763,1.38762E+11
Kyrgyz Republic,3976,1070.323406,6637610602
Lao PDR,49030,1730.404815,11867393084
Latvia,17736,15553.32797,30184965729
Lebanon,769.6,7197.630421,43778557772
Lesotho,1415,1409.216948,3147259170
Liberia,51521,352.2859531,1666984015
Libya,111.5,7314.624396,46627921706
Lithuania,8513,16793.25004,47486625804
Luxembourg,6172,107865.2735,64659730353
"Macedonia, FYR",3080,5245.359606,10926923318
Madagascar,13906,421.8912457,10788136744
Malawi,1004,486.445325,9058635433
Malaysia,19122,11521.45446,3.64358E+11
Maldives,82.49,8980.033982,3918258227
Mali,6818,762.2259695,14133178683
Malta,120.6,27145.81054,12630728477
Mauritania,2802,1305.205043,5769246447
Mauritius,2161,10186.05382,12881416082
Mexico,3637,9946.157994,1.28468E+12
Moldova,3015,2165.156404,7685763946
Mongolia,11761,4071.09329,12521245863
Morocco,843.6,3292.445138,1.1949E+11
Mozambique,7760,518.9608773,15396964122
Myanmar,21671,1484.200746,79212697713
Namibia,16230,5854.861616,14835013234
Nepal,7372,728.4000811,21345762921
Netherlands,5377,53597.83433,9.18284E+11
New Zealand,72201,37852.87359,1.81463E+11
Nicaragua,27047,2016.31995,12536632611
Niger,1711,395.9372887,8503682935
Nigeria,1571,2412.41,4.60496E+11
Norway,75417,91218.61843,4.81837E+11
Oman,311.7,16144.40722,74849701691
Pakistan,1306,1222.523906,2.40857E+11
Panama,35454,11513.27768,47188170241
Papua New Guinea,105132,2401.571381,19815754521
Paraguay,58412,3905.929971,26604449092
Peru,59916,6172.69359,1.98548E+11
Philippines,4757,2891.35889,3.03356E+11
Poland,1567,15751.23383,5.98166E+11
Portugal,7478,23116.57933,2.37956E+11
Puerto Rico,1928,27308.99388,93028633826
Qatar,25.95,65696.38713,1.73387E+11
Romania,10866,10932.32715,2.14126E+11
Russian Federation,31543,11441.00346,1.68001E+12
Rwanda,1146,765.2245578,9342172848
Sao Tome and Principe,11456,1305.621914,266773808.8
Saudi Arabia,76.09,20796.31946,6.84994E+11
Senegal,2576,1134.08224,17975846535
Serbia,18326,5992.282069,42079410618
Sierra Leone,24795,462.4575982,3494890111
Singapore,107.1,55235.51289,3.09996E+11
Slovak Republic,9233,19897.15351,1.08238E+11
Slovenia,15411,25662.41491,53037744699
Solomon Islands,76594,1521.294303,930032622.8
South Africa,942.4,7524.511184,4.26769E+11
Spain,2418,32405.75081,1.5092E+12
Sri Lanka,2549,3842.295999,82394195409
St. Kitts and Nevis,431.9,15779.31964,873306445.5
St. Lucia,1622,8554.586354,1529936442
St. Vincent and the Grenadines,913.2,6741.827067,740906569.2
Sudan,939.5,1959.153522,79411016248
Suriname,182320,8043.462124,4531702648
Sweden,17793,56935.18827,5.73209E+11
Switzerland,6447,76667.44404,6.49068E+11
Tajikistan,2583,1015.472189,9059375703
Tanzania,1800,900.5230167,50098249469
Thailand,6454,6125.660289,4.229E+11
Timor-Leste,6932,2672.097096,3463868859
Togo,2012,577.3822561,4502250154
Trinidad and Tobago,2824,15350.85058,21017233305
Tunisia,410.1,4303.963611,49633854967
Turkey,2690,14933.26521,1.20579E+12
Turkmenistan,4609,7317.549506,42134998872
Uganda,1540,666.6058353,28572697920
Ukraine,3911,2991.629311,1.27101E+11
United Arab Emirates,16.38,41197.16878,3.87259E+11
United Kingdom,2271,42514.48745,2.8069E+12
United States,9538,53128.5397,1.7305E+13
Uruguay,50175,14362.56121,49647783476
Uzbekistan,1635,2031.047754,65779949823
Vanuatu,37793,2939.520707,812024958.1
"Venezuela, RB",42594,13709.04305,4.21394E+11
Vietnam,9461,1834.651595,1.75284E+11
West Bank and Gaza,179.3,2494.057016,12136735452
"Yemen, Rep.",78.26,432.3861039,11927030389
Zambia,6464,1646.143835,28139396719
Zimbabwe,1282,927.398658,15329810786
